Team,Date,Score
Belgium,28-05-2007,52.37
Bermuda,28-05-2007,41.69
Bosnia & Herzegovina,28-05-2007,29.25
Botswana,28-05-2007,38.64
Brazil,28-05-2007,52.31
Bulgaria,28-05-2007,34.91
Cameroon,28-05-2007,38.52
Canada,28-05-2007,69.32
Cayman Islands,28-05-2007,43.87
Chile,28-05-2007,59.22
China,28-05-2007,46.36
Chinese Taipei,28-05-2007,49.22
Colombia,28-05-2007,41.69
Cook Islands,28-05-2007,45.87
Cote D'Ivoire,28-05-2007,48.91
Croatia,28-05-2007,46.28
Czech Republic,28-05-2007,51.92
Denmark,28-05-2007,44.64
England,28-05-2007,79.05
Fiji,28-05-2007,72.47
Finland,28-05-2007,30.71
France,28-05-2007,85.6
Georgia,28-05-2007,65.77
Germany,28-05-2007,56.65
Guam,28-05-2007,38.14
Guyana,28-05-2007,40.35
Hong Kong,28-05-2007,54.58
Hungary,28-05-2007,42.2
India,28-05-2007,36.21
Ireland,28-05-2007,83.95
Israel,28-05-2007,33.74
Italy,28-05-2007,75.36
Jamaica,28-05-2007,38.97
Japan,28-05-2007,65.09
Kazakhstan,28-05-2007,50.52
Kenya,28-05-2007,47.43
Korea,28-05-2007,57.92
Latvia,28-05-2007,49.43
Lithuania,28-05-2007,44.1
Luxembourg,28-05-2007,38.4
Madagascar,28-05-2007,47.95
Malaysia,28-05-2007,40.83
Malta,28-05-2007,44.89
Moldova,28-05-2007,54.83
Monaco,28-05-2007,38.81
Morocco,28-05-2007,55.66
Namibia,28-05-2007,59.29
Netherlands,28-05-2007,48.4
New Zealand,28-05-2007,94.59
Nigeria,28-05-2007,35.99
Niue Island,28-05-2007,40.96
Norway,28-05-2007,36.02
Papua New Guinea,28-05-2007,45.09
Paraguay,28-05-2007,53.82
Peru,28-05-2007,41.75
Poland,28-05-2007,52.95
Portugal,28-05-2007,62.11
Romania,28-05-2007,66.67
Russia,28-05-2007,64.25
Samoa,28-05-2007,74.36
Scotland,28-05-2007,73.87
Senegal,28-05-2007,41.44
Serbia,28-05-2007,40.33
Singapore,28-05-2007,46.87
Slovenia,28-05-2007,42.42
Solomon Islands,28-05-2007,39.06
South Africa,28-05-2007,84.93
Spain,28-05-2007,59.4
Sri Lanka,28-05-2007,45.85
St Lucia,28-05-2007,37.57
St Vincent and the Grenadines,28-05-2007,39.3
Swaziland,28-05-2007,37.57
Sweden,28-05-2007,49.84
Switzerland,28-05-2007,45.12
Tahiti,28-05-2007,36.25
Thailand,28-05-2007,40
Tonga,28-05-2007,66.61
Trinidad & Tobago,28-05-2007,43.97
Tunisia,28-05-2007,52.65
Uganda,28-05-2007,47.77
Ukraine,28-05-2007,50.8
Uruguay,28-05-2007,64.22
USA,28-05-2007,69.24
Vanuatu,28-05-2007,34.77
Venezuela,28-05-2007,43.4
Wales,28-05-2007,76.15
Zambia,28-05-2007,41.35
Zimbabwe,28-05-2007,45.51
American Samoa,28-03-2016,25.53
Andorra,28-03-2016,40.8
Argentina,28-03-2016,82.59
Australia,28-03-2016,89.33
Austria,28-03-2016,35
Bahamas,28-03-2016,34.55
Barbados,28-03-2016,37.39
Belgium,28-03-2016,57.94
Bermuda,28-03-2016,40.03
Bosnia & Herzegovina,28-03-2016,36.18
Botswana,28-03-2016,40.99
Brazil,28-03-2016,50.41
Bulgaria,28-03-2016,31.57
Cameroon,28-03-2016,32.33
Canada,28-03-2016,64.27
Cayman Islands,28-03-2016,42.87
Chile,28-03-2016,55.2
China,28-03-2016,39.58
Chinese Taipei,28-03-2016,40.27
Colombia,28-03-2016,46.51
Cook Islands,28-03-2016,47.11
Cote D'Ivoire,28-03-2016,45.76
Croatia,28-03-2016,46.97
Czech Republic,28-03-2016,50.67
Denmark,28-03-2016,34.26
England,28-03-2016,83.98
Fiji,28-03-2016,76.96
Finland,28-03-2016,28.34
France,28-03-2016,78.36
Georgia,28-03-2016,72.62
Germany,28-03-2016,57.71
Greece,28-03-2016,28.55
Guam,28-03-2016,38.11
Guyana,28-03-2016,44.88
Hong Kong,28-03-2016,57.17
Hungary,28-03-2016,37.94
India,28-03-2016,37.12
Indonesia,28-03-2016,28.73
Ireland,28-03-2016,80.33
Israel,28-03-2016,42.97
Italy,28-03-2016,70.78
Jamaica,28-03-2016,38.92
Japan,28-03-2016,77.05
Kazakhstan,28-03-2016,48.14
Kenya,28-03-2016,55.89
Korea,28-03-2016,56.7
Latvia,28-03-2016,44.06
Lithuania,28-03-2016,48.86
Luxembourg,28-03-2016,41.67
Madagascar,28-03-2016,48.71
Malaysia,28-03-2016,43.53
Malta,28-03-2016,46.15
Mauritius,28-03-2016,33.86
Mexico,28-03-2016,43.61
Moldova,28-03-2016,52.82
Monaco,28-03-2016,29.17
Morocco,28-03-2016,45.18
Namibia,28-03-2016,61.75
Netherlands,28-03-2016,50.77
New Zealand,28-03-2016,96.1
Nigeria,28-03-2016,37.03
Niue Island,28-03-2016,34.45
Norway,28-03-2016,34
Pakistan,28-03-2016,36.74
Papua New Guinea,28-03-2016,39.27
Paraguay,28-03-2016,50.46
Peru,28-03-2016,39.24
Philippines,28-03-2016,45.12
Poland,28-03-2016,51.03
Portugal,28-03-2016,54.29
Romania,28-03-2016,67.52
Russia,28-03-2016,63.56
Samoa,28-03-2016,70.36
Scotland,28-03-2016,78.32
Senegal,28-03-2016,45.96
Serbia,28-03-2016,35.11
Singapore,28-03-2016,42.92
Slovenia,28-03-2016,40.55
Solomon Islands,28-03-2016,30.4
South Africa,28-03-2016,87.66
Spain,28-03-2016,60.87
Sri Lanka,28-03-2016,49.79
St Vincent and the Grenadines,28-03-2016,34.91
Swaziland,28-03-2016,32.04
Sweden,28-03-2016,43.92
Switzerland,28-03-2016,50.95
Tahiti,28-03-2016,31.79
Thailand,28-03-2016,37.46
Tonga,28-03-2016,71.6
Trinidad & Tobago,28-03-2016,47.38
Tunisia,28-03-2016,49.11
Uganda,28-03-2016,46.35
Ukraine,28-03-2016,55.51
United Arab Emirates,28-03-2016,34.92
Uruguay,28-03-2016,63.23
USA,28-03-2016,65.68
Uzbekistan,28-03-2016,33.89
Vanuatu,28-03-2016,27.45
Venezuela,28-03-2016,40.02
Wales,28-03-2016,83.1
Zambia,28-03-2016,35.8
Zimbabwe,28-03-2016,53.24
Andorra,28-03-2005,43.41
Arabian Gulf,28-03-2005,45.78
Argentina,28-03-2005,77.63
Australia,28-03-2005,88.58
Austria,28-03-2005,39.85
Bahamas,28-03-2005,34.2
Barbados,28-03-2005,38.48
Belgium,28-03-2005,46.55
Bermuda,28-03-2005,44.57
Bosnia & Herzegovina,28-03-2005,30.53
Botswana,28-03-2005,38.25
Brazil,28-03-2005,51.55
Bulgaria,28-03-2005,36.26
Cameroon,28-03-2005,37.69
Canada,28-03-2005,68.09
Cayman Islands,28-03-2005,43.97
Chile,28-03-2005,58.79
China,28-03-2005,48.82
Chinese Taipei,28-03-2005,51.24
Colombia,28-03-2005,37.95
Cook Islands,28-03-2005,44.68
Cote D'Ivoire,28-03-2005,48.87
Croatia,28-03-2005,49.99
Czech Republic,28-03-2005,58.52
Denmark,28-03-2005,48.31
England,28-03-2005,82.81
Fiji,28-03-2005,73.27
Finland,28-03-2005,29.66
France,28-03-2005,84.67
Georgia,28-03-2005,62.88
Germany,28-03-2005,55.16
Guam,28-03-2005,40
Guyana,28-03-2005,38.95
Hong Kong,28-03-2005,55.53
Hungary,28-03-2005,38.46
India,28-03-2005,34.62
Ireland,28-03-2005,82.14
Israel,28-03-2005,35.42
Italy,28-03-2005,70.8
Jamaica,28-03-2005,37.93
Japan,28-03-2005,64.83
Kazakhstan,28-03-2005,46.64
Kenya,28-03-2005,46.67
Korea,28-03-2005,60.24
Latvia,28-03-2005,43.47
Lithuania,28-03-2005,42.22
Luxembourg,28-03-2005,40.69
Madagascar,28-03-2005,47.57
Malaysia,28-03-2005,40.8
Malta,28-03-2005,45.02
Moldova,28-03-2005,49.21
Monaco,28-03-2005,38.81
Morocco,28-03-2005,59.94
Namibia,28-03-2005,59.38
Netherlands,28-03-2005,53.5
New Zealand,28-03-2005,90.9
Nigeria,28-03-2005,37.25
Niue Island,28-03-2005,40.83
Norway,28-03-2005,34.4
Papua New Guinea,28-03-2005,43.52
Paraguay,28-03-2005,53.18
Peru,28-03-2005,44.16
Poland,28-03-2005,52.7
Portugal,28-03-2005,66.03
Romania,28-03-2005,67.34
Russia,28-03-2005,57.41
Samoa,28-03-2005,71.03
Scotland,28-03-2005,73.47
Senegal,28-03-2005,40.41
Serbia,28-03-2005,42.67
Singapore,28-03-2005,48.01
Slovenia,28-03-2005,44.73
Solomon Islands,28-03-2005,39.67
South Africa,28-03-2005,85.78
Spain,28-03-2005,54.62
Sri Lanka,28-03-2005,44.05
St Lucia,28-03-2005,40
St Vincent and the Grenadines,28-03-2005,40
Swaziland,28-03-2005,38.31
Sweden,28-03-2005,47.24
Switzerland,28-03-2005,48.7
Tahiti,28-03-2005,37.62
Thailand,28-03-2005,43.58
Tonga,28-03-2005,62.72
Trinidad & Tobago,28-03-2005,46.36
Tunisia,28-03-2005,54.09
Uganda,28-03-2005,41.96
Ukraine,28-03-2005,56.1
Uruguay,28-03-2005,66.92
USA,28-03-2005,66.4
Vanuatu,28-03-2005,35.67
Venezuela,28-03-2005,47.33
Wales,28-03-2005,83.08
Zambia,28-03-2005,41.78
Zimbabwe,28-03-2005,47.36
Andorra,28-06-2010,42.29
Arabian Gulf,28-06-2010,51.89
Argentina,28-06-2010,79.7
Australia,28-06-2010,84.41
Austria,28-06-2010,36.29
Bahamas,28-06-2010,36.33
Barbados,28-06-2010,39.21
Belgium,28-06-2010,55.36
Bermuda,28-06-2010,44.74
Bosnia & Herzegovina,28-06-2010,36.18
Botswana,28-06-2010,39.21
Brazil,28-06-2010,54.56
Bulgaria,28-06-2010,36.08
Cameroon,28-06-2010,38.21
Canada,28-06-2010,69.42
Cayman Islands,28-06-2010,40.97
Chile,28-06-2010,56.97
China,28-06-2010,41.23
Chinese Taipei,28-06-2010,42.27
Colombia,28-06-2010,44.99
Cook Islands,28-06-2010,44.61
Cote D'Ivoire,28-06-2010,47.52
Croatia,28-06-2010,49.72
Czech Republic,28-06-2010,52.52
Denmark,28-06-2010,40.52
England,28-06-2010,81.82
Fiji,28-06-2010,74.39
Finland,28-06-2010,28.59
France,28-06-2010,82.75
Georgia,28-06-2010,66.38
Germany,28-06-2010,53.22
Guam,28-06-2010,36.8
Guyana,28-06-2010,41.52
Hong Kong,28-06-2010,52.33
Hungary,28-06-2010,41.01
India,28-06-2010,39.61
Ireland,28-06-2010,82.03
Israel,28-06-2010,39.57
Italy,28-06-2010,72.97
Jamaica,28-06-2010,36.61
Japan,28-06-2010,72.48
Kazakhstan,28-06-2010,55.39
Kenya,28-06-2010,50.1
Korea,28-06-2010,52.87
Latvia,28-06-2010,43.03
Lithuania,28-06-2010,50.41
Luxembourg,28-06-2010,32.65
Madagascar,28-06-2010,46.9
Malaysia,28-06-2010,42.95
Malta,28-06-2010,46.44
Moldova,28-06-2010,51.61
Monaco,28-06-2010,35.17
Morocco,28-06-2010,56.13
Namibia,28-06-2010,62.69
Netherlands,28-06-2010,51.67
New Zealand,28-06-2010,91.68
Nigeria,28-06-2010,35.28
Niue Island,28-06-2010,41.11
Norway,28-06-2010,37.13
Papua New Guinea,28-06-2010,46.19
Paraguay,28-06-2010,50.23
Peru,28-06-2010,38.81
Poland,28-06-2010,51.5
Portugal,28-06-2010,61.27
Romania,28-06-2010,65.1
Russia,28-06-2010,65.8
Samoa,28-06-2010,72.74
Scotland,28-06-2010,79.81
Senegal,28-06-2010,43.83
Serbia,28-06-2010,42.06
Singapore,28-06-2010,44.96
Slovenia,28-06-2010,41.52
Solomon Islands,28-06-2010,39.06
South Africa,28-06-2010,89.46
Spain,28-06-2010,57.7
Sri Lanka,28-06-2010,48.36
St Lucia,28-06-2010,37.57
St Vincent and the Grenadines,28-06-2010,39.3
Swaziland,28-06-2010,36.68
Sweden,28-06-2010,46.36
Switzerland,28-06-2010,42.19
Tahiti,28-06-2010,36.25
Thailand,28-06-2010,42.4
Tonga,28-06-2010,67.05
Trinidad & Tobago,28-06-2010,47.19
Tunisia,28-06-2010,52.35
Uganda,28-06-2010,50.09
Ukraine,28-06-2010,54.35
Uruguay,28-06-2010,61.2
USA,28-06-2010,67.86
Vanuatu,28-06-2010,34.77
Venezuela,28-06-2010,42.79
Wales,28-06-2010,78.57
Zambia,28-06-2010,39.31
Zimbabwe,28-06-2010,46.11
Andorra,28-06-2004,42.6
Arabian Gulf,28-06-2004,48.98
Argentina,28-06-2004,77.05
Australia,28-06-2004,87.94
Austria,28-06-2004,39.06
Bahamas,28-06-2004,34.2
Barbados,28-06-2004,38.48
Belgium,28-06-2004,46.06
Bermuda,28-06-2004,44.57
Bosnia & Herzegovina,28-06-2004,31.32
Botswana,28-06-2004,35.82
Brazil,28-06-2004,51.56
Bulgaria,28-06-2004,35.08
Cameroon,28-06-2004,38.97
Canada,28-06-2004,68.68
Cayman Islands,28-06-2004,43.97
Chile,28-06-2004,58.87
China,28-06-2004,48.17
Chinese Taipei,28-06-2004,51.93
Colombia,28-06-2004,38.63
Cook Islands,28-06-2004,44
Cote D'Ivoire,28-06-2004,48.87
Croatia,28-06-2004,49.33
Czech Republic,28-06-2004,56.83
Denmark,28-06-2004,48.96
England,28-06-2004,87.3
Fiji,28-06-2004,73.27
Finland,28-06-2004,31.05
France,28-06-2004,86.05
Georgia,28-06-2004,61.06
Germany,28-06-2004,54.28
Guam,28-06-2004,40
Guyana,28-06-2004,38.95
Hong Kong,28-06-2004,55.76
Hungary,28-06-2004,39.4
India,28-06-2004,34.62
Ireland,28-06-2004,81.03
Israel,28-06-2004,36.69
Italy,28-06-2004,71.15
Jamaica,28-06-2004,37.93
Japan,28-06-2004,63.93
Kazakhstan,28-06-2004,46.89
Kenya,28-06-2004,46.3
Korea,28-06-2004,61.2
Latvia,28-06-2004,45.21
Lithuania,28-06-2004,41.2
Luxembourg,28-06-2004,41.36
Madagascar,28-06-2004,48.2
Malaysia,28-06-2004,40.8
Malta,28-06-2004,44.17
Moldova,28-06-2004,48.77
Monaco,28-06-2004,38.81
Morocco,28-06-2004,61.56
Namibia,28-06-2004,57.77
Netherlands,28-06-2004,53.5
New Zealand,28-06-2004,92.01
Nigeria,28-06-2004,39.87
Niue Island,28-06-2004,41.51
Norway,28-06-2004,34.93
Papua New Guinea,28-06-2004,43.52
Paraguay,28-06-2004,51.25
Peru,28-06-2004,45.75
Poland,28-06-2004,50.74
Portugal,28-06-2004,64.66
Romania,28-06-2004,68.19
Russia,28-06-2004,59.41
Samoa,28-06-2004,71.03
Scotland,28-06-2004,75.5
Senegal,28-06-2004,38.02
Serbia,28-06-2004,42.09
Singapore,28-06-2004,45.25
Slovenia,28-06-2004,45.91
Solomon Islands,28-06-2004,39.67
South Africa,28-06-2004,83.02
Spain,28-06-2004,53.43
Sri Lanka,28-06-2004,43.6
St Lucia,28-06-2004,40
St Vincent and the Grenadines,28-06-2004,40
Swaziland,28-06-2004,37.92
Sweden,28-06-2004,45.75
Switzerland,28-06-2004,51.89
Tahiti,28-06-2004,37.62
Thailand,28-06-2004,43.98
Tonga,28-06-2004,62.72
Trinidad & Tobago,28-06-2004,46.36
Tunisia,28-06-2004,54.09
Uganda,28-06-2004,41.11
Ukraine,28-06-2004,58.92
Uruguay,28-06-2004,65.66
USA,28-06-2004,66.59
Vanuatu,28-06-2004,35.67
Venezuela,28-06-2004,46.98
Wales,28-06-2004,77.43
Zambia,28-06-2004,43.82
Zimbabwe,28-06-2004,47.22
Andorra,28-07-2008,43.4
Arabian Gulf,28-07-2008,47.15
Argentina,28-07-2008,83.45
Australia,28-07-2008,87.19
Austria,28-07-2008,36.47
Bahamas,28-07-2008,36.33
Barbados,28-07-2008,40.96
Belgium,28-07-2008,55.87
Bermuda,28-07-2008,42.26
Bosnia & Herzegovina,28-07-2008,32.54
Botswana,28-07-2008,39.53
Brazil,28-07-2008,53.98
Bulgaria,28-07-2008,34.92
Cameroon,28-07-2008,38.97
Canada,28-07-2008,68.81
Cayman Islands,28-07-2008,42.12
Chile,28-07-2008,57.07
China,28-07-2008,48.68
Chinese Taipei,28-07-2008,46.95
Colombia,28-07-2008,42.03
Cook Islands,28-07-2008,45.87
Cote D'Ivoire,28-07-2008,48.2
Croatia,28-07-2008,47.8
Czech Republic,28-07-2008,51.92
Denmark,28-07-2008,42.67
England,28-07-2008,83.18
Fiji,28-07-2008,75.24
Finland,28-07-2008,31.98
France,28-07-2008,79.02
Georgia,28-07-2008,69.42
Germany,28-07-2008,57.05
Guam,28-07-2008,36.8
Guyana,28-07-2008,41.52
Hong Kong,28-07-2008,53.18
Hungary,28-07-2008,40.34
India,28-07-2008,37.23
Ireland,28-07-2008,77.25
Israel,28-07-2008,33.64
Italy,28-07-2008,75.46
Jamaica,28-07-2008,36.61
Japan,28-07-2008,67.33
Kazakhstan,28-07-2008,52.25
Kenya,28-07-2008,49.51
Korea,28-07-2008,59
Latvia,28-07-2008,47.38
Lithuania,28-07-2008,47.84
Luxembourg,28-07-2008,35.05
Madagascar,28-07-2008,47.92
Malaysia,28-07-2008,37.99
Malta,28-07-2008,44.07
Moldova,28-07-2008,51.56
Monaco,28-07-2008,38.81
Morocco,28-07-2008,54.14
Namibia,28-07-2008,56.82
Netherlands,28-07-2008,47.36
New Zealand,28-07-2008,88.24
Nigeria,28-07-2008,35.28
Niue Island,28-07-2008,40.53
Norway,28-07-2008,37.1
Papua New Guinea,28-07-2008,45.52
Paraguay,28-07-2008,52.4
Peru,28-07-2008,40.64
Poland,28-07-2008,52.48
Portugal,28-07-2008,58.87
Romania,28-07-2008,67.18
Russia,28-07-2008,63.93
Samoa,28-07-2008,72.56
Scotland,28-07-2008,76.92
Senegal,28-07-2008,41.44
Serbia,28-07-2008,40.11
Singapore,28-07-2008,44.88
Slovenia,28-07-2008,41.32
Solomon Islands,28-07-2008,39.06
South Africa,28-07-2008,90.02
Spain,28-07-2008,61.55
Sri Lanka,28-07-2008,46.46
St Lucia,28-07-2008,37.57
St Vincent and the Grenadines,28-07-2008,39.3
Swaziland,28-07-2008,36.68
Sweden,28-07-2008,50.92
Switzerland,28-07-2008,45.67
Tahiti,28-07-2008,36.25
Thailand,28-07-2008,42.33
Tonga,28-07-2008,70.04
Trinidad & Tobago,28-07-2008,47.79
Tunisia,28-07-2008,52.8
Uganda,28-07-2008,52.89
Ukraine,28-07-2008,51.77
Uruguay,28-07-2008,63.68
USA,28-07-2008,63.11
Vanuatu,28-07-2008,34.77
Venezuela,28-07-2008,43.92
Wales,28-07-2008,80.11
Zambia,28-07-2008,40.64
Zimbabwe,28-07-2008,44.45
Andorra,28-02-2011,43.77
Argentina,28-02-2011,78.97
Australia,28-02-2011,87.45
Austria,28-02-2011,36.87
Bahamas,28-02-2011,36.33
Barbados,28-02-2011,39.21
Belgium,28-02-2011,56.78
Bermuda,28-02-2011,44.74
Bosnia & Herzegovina,28-02-2011,36.18
Botswana,28-02-2011,38.17
Brazil,28-02-2011,54.56
Bulgaria,28-02-2011,37.12
Cameroon,28-02-2011,38.21
Canada,28-02-2011,69.18
Cayman Islands,28-02-2011,40.97
Chile,28-02-2011,56.68
China,28-02-2011,41.23
Chinese Taipei,28-02-2011,42.27
Colombia,28-02-2011,41.73
Cook Islands,28-02-2011,44.61
Cote D'Ivoire,28-02-2011,47.52
Croatia,28-02-2011,48.15
Czech Republic,28-02-2011,53.3
Denmark,28-02-2011,41.17
England,28-02-2011,83.98
Fiji,28-02-2011,74.05
Finland,28-02-2011,27.7
France,28-02-2011,82.87
Georgia,28-02-2011,69.07
Germany,28-02-2011,54.24
Guam,28-02-2011,36.8
Guyana,28-02-2011,41.52
Hong Kong,28-02-2011,51.43
Hungary,28-02-2011,39.68
India,28-02-2011,39.61
Ireland,28-02-2011,81.95
Israel,28-02-2011,40.44
Italy,28-02-2011,72.16
Jamaica,28-02-2011,36.61
Japan,28-02-2011,71.44
Kazakhstan,28-02-2011,55.21
Kenya,28-02-2011,52.84
Korea,28-02-2011,52.87
Latvia,28-02-2011,43.85
Lithuania,28-02-2011,49.83
Luxembourg,28-02-2011,32.49
Madagascar,28-02-2011,46.45
Malaysia,28-02-2011,42.95
Malta,28-02-2011,44.44
Moldova,28-02-2011,52.5
Monaco,28-02-2011,35.17
Morocco,28-02-2011,56.13
Namibia,28-02-2011,60.66
Netherlands,28-02-2011,48.63
New Zealand,28-02-2011,93.19
Nigeria,28-02-2011,35.28
Niue Island,28-02-2011,41.11
Norway,28-02-2011,36.36
Papua New Guinea,28-02-2011,46.19
Paraguay,28-02-2011,50.23
Peru,28-02-2011,41.98
Poland,28-02-2011,51.33
Portugal,28-02-2011,62.95
Romania,28-02-2011,65.44
Russia,28-02-2011,63.4
Samoa,28-02-2011,74.01
Scotland,28-02-2011,76.96
Senegal,28-02-2011,43.83
Serbia,28-02-2011,40.81
Singapore,28-02-2011,44.96
Slovenia,28-02-2011,42.12
Solomon Islands,28-02-2011,39.06
South Africa,28-02-2011,86.44
Spain,28-02-2011,58.53
Sri Lanka,28-02-2011,48.36
St Lucia,28-02-2011,37.57
St Vincent and the Grenadines,28-02-2011,39.3
Swaziland,28-02-2011,36.68
Sweden,28-02-2011,49.71
Switzerland,28-02-2011,41.36
Tahiti,28-02-2011,36.25
Thailand,28-02-2011,42.4
Tonga,28-02-2011,67.34
Trinidad & Tobago,28-02-2011,47.19
Tunisia,28-02-2011,52.35
Uganda,28-02-2011,48.13
Ukraine,28-02-2011,53.86
Uruguay,28-02-2011,60.94
USA,28-02-2011,67.69
Vanuatu,28-02-2011,34.77
Venezuela,28-02-2011,42.88
Wales,28-02-2011,79.57
Zambia,28-02-2011,39.97
Zimbabwe,28-02-2011,46.15
Andorra,28-02-2005,43.41
Arabian Gulf,28-02-2005,45.78
Argentina,28-02-2005,77.63
Australia,28-02-2005,88.58
Austria,28-02-2005,39.85
Bahamas,28-02-2005,34.2
Barbados,28-02-2005,38.48
Belgium,28-02-2005,46.55
Bermuda,28-02-2005,44.57
Bosnia & Herzegovina,28-02-2005,30.53
Botswana,28-02-2005,38.25
Brazil,28-02-2005,51.55
Bulgaria,28-02-2005,36.26
Cameroon,28-02-2005,38.97
Canada,28-02-2005,68.09
Cayman Islands,28-02-2005,43.97
Chile,28-02-2005,58.79
China,28-02-2005,48.82
Chinese Taipei,28-02-2005,51.24
Colombia,28-02-2005,37.95
Cook Islands,28-02-2005,44.68
Cote D'Ivoire,28-02-2005,48.87
Croatia,28-02-2005,49.99
Czech Republic,28-02-2005,56.64
Denmark,28-02-2005,48.31
England,28-02-2005,82.81
Fiji,28-02-2005,73.27
Finland,28-02-2005,29.66
France,28-02-2005,83.26
Georgia,28-02-2005,61.45
Germany,28-02-2005,55.16
Guam,28-02-2005,40
Guyana,28-02-2005,38.95
Hong Kong,28-02-2005,55.53
Hungary,28-02-2005,38.46
India,28-02-2005,34.62
Ireland,28-02-2005,84.3
Israel,28-02-2005,35.42
Italy,28-02-2005,70.8
Jamaica,28-02-2005,37.93
Japan,28-02-2005,64.83
Kazakhstan,28-02-2005,46.64
Kenya,28-02-2005,46.67
Korea,28-02-2005,60.24
Latvia,28-02-2005,43.47
Lithuania,28-02-2005,42.22
Luxembourg,28-02-2005,40.69
Madagascar,28-02-2005,47.57
Malaysia,28-02-2005,40.8
Malta,28-02-2005,45.02
Moldova,28-02-2005,49.21
Monaco,28-02-2005,38.81
Morocco,28-02-2005,59.94
Namibia,28-02-2005,59.38
Netherlands,28-02-2005,53.5
New Zealand,28-02-2005,90.9
Nigeria,28-02-2005,38.35
Niue Island,28-02-2005,40.83
Norway,28-02-2005,34.4
Papua New Guinea,28-02-2005,43.52
Paraguay,28-02-2005,53.18
Peru,28-02-2005,44.16
Poland,28-02-2005,52.7
Portugal,28-02-2005,66.03
Romania,28-02-2005,68.78
Russia,28-02-2005,58.15
Samoa,28-02-2005,71.03
Scotland,28-02-2005,74.37
Senegal,28-02-2005,38.02
Serbia,28-02-2005,42.3
Singapore,28-02-2005,48.01
Slovenia,28-02-2005,45.39
Solomon Islands,28-02-2005,39.67
South Africa,28-02-2005,85.78
Spain,28-02-2005,53.95
Sri Lanka,28-02-2005,44.05
St Lucia,28-02-2005,40
St Vincent and the Grenadines,28-02-2005,40
Swaziland,28-02-2005,37.01
Sweden,28-02-2005,47.24
Switzerland,28-02-2005,49.08
Tahiti,28-02-2005,37.62
Thailand,28-02-2005,43.58
Tonga,28-02-2005,62.72
Trinidad & Tobago,28-02-2005,46.36
Tunisia,28-02-2005,54.09
Uganda,28-02-2005,41.96
Ukraine,28-02-2005,57.24
Uruguay,28-02-2005,66.92
USA,28-02-2005,66.4
Vanuatu,28-02-2005,35.67
Venezuela,28-02-2005,47.33
Wales,28-02-2005,81.43
Zambia,28-02-2005,43.09
Zimbabwe,28-02-2005,47.36
Andorra,28-08-2006,43.54
Arabian Gulf,28-08-2006,48.76
Argentina,28-08-2006,76.76
Australia,28-08-2006,86.89
Austria,28-08-2006,39.97
Bahamas,28-08-2006,35.61
Barbados,28-08-2006,43.13
Belgium,28-08-2006,52.75
Bermuda,28-08-2006,41.69
Bosnia & Herzegovina,28-08-2006,31.8
Botswana,28-08-2006,38.64
Brazil,28-08-2006,50.72
Bulgaria,28-08-2006,35.2
Cameroon,28-08-2006,38.52
Canada,28-08-2006,70.12
Cayman Islands,28-08-2006,43.87
Chile,28-08-2006,59.22
China,28-08-2006,46.36
Chinese Taipei,28-08-2006,48.41
Colombia,28-08-2006,37.53
Cook Islands,28-08-2006,45.87
Cote D'Ivoire,28-08-2006,47.58
Croatia,28-08-2006,48.93
Czech Republic,28-08-2006,56.47
Denmark,28-08-2006,45.05
England,28-08-2006,79.64
Fiji,28-08-2006,73.11
Finland,28-08-2006,29.32
France,28-08-2006,87.52
Georgia,28-08-2006,65.04
Germany,28-08-2006,56.06
Guam,28-08-2006,38.14
Guyana,28-08-2006,40.35
Hong Kong,28-08-2006,55.17
Hungary,28-08-2006,40.05
India,28-08-2006,36.21
Ireland,28-08-2006,82
Israel,28-08-2006,34.56
Italy,28-08-2006,71.98
Jamaica,28-08-2006,38.97
Japan,28-08-2006,62.96
Kazakhstan,28-08-2006,47.95
Kenya,28-08-2006,47.9
Korea,28-08-2006,60.07
Latvia,28-08-2006,48.26
Lithuania,28-08-2006,41.19
Luxembourg,28-08-2006,37.93
Madagascar,28-08-2006,47.95
Malaysia,28-08-2006,41.7
Malta,28-08-2006,46.43
Moldova,28-08-2006,50.22
Monaco,28-08-2006,38.81
Morocco,28-08-2006,60.52
Namibia,28-08-2006,56.25
Netherlands,28-08-2006,51.72
New Zealand,28-08-2006,94.62
Nigeria,28-08-2006,35.99
Niue Island,28-08-2006,40.96
Norway,28-08-2006,38.7
Papua New Guinea,28-08-2006,45.09
Paraguay,28-08-2006,53.82
Peru,28-08-2006,45.44
Poland,28-08-2006,49.55
Portugal,28-08-2006,61.09
Romania,28-08-2006,67.24
Russia,28-08-2006,64.39
Samoa,28-08-2006,73.72
Scotland,28-08-2006,77.63
Senegal,28-08-2006,42.13
Serbia,28-08-2006,40.04
Singapore,28-08-2006,46
Slovenia,28-08-2006,40.9
Solomon Islands,28-08-2006,39.06
South Africa,28-08-2006,84.58
Spain,28-08-2006,55.74
Sri Lanka,28-08-2006,48.12
St Lucia,28-08-2006,37.57
St Vincent and the Grenadines,28-08-2006,39.3
Swaziland,28-08-2006,37.57
Sweden,28-08-2006,47.71
Switzerland,28-08-2006,47.13
Tahiti,28-08-2006,36.25
Thailand,28-08-2006,40.8
Tonga,28-08-2006,66.01
Trinidad & Tobago,28-08-2006,43.97
Tunisia,28-08-2006,52.63
